from,to,cost
262,340,0.872
341,213,1.322
211,303,1.222
340,341,0.233
303,263,1.22
213,212,0.239
214,211,0.256
16,14,0.255
15,24,0.283
24,71,1.85
70,265,1.031
71,70,0.218
264,16,3.208
232,264,0.557
265,72,0.751
228,232,1.369
72,227,1.171
215,228,1.095
227,216,1.108
216,218,0.255
217,215,0.17
218,219,0.782
218,220,0.782
221,217,1.493
219,222,0.795
220,222,0.795
87,221,1.195
248,221,1.195
222,223,1.275
222,224,1.275
106,87,1.749
106,248,1.749
191,87,1.749
191,248,1.749
223,240,2.373
223,241,2.373
224,240,2.373
224,241,2.373
118,106,2.439
118,191,2.439
192,106,2.439
192,191,2.439
240,238,1.687
240,257,1.687
241,238,1.687
241,257,1.687
117,118,0.221
117,192,0.221
193,118,0.221
193,192,0.221
238,237,0.294
238,258,0.294
257,237,0.294
257,258,0.294
114,117,2.939
114,193,2.939
194,117,2.939
194,193,2.939
237,116,2.861
237,184,2.861
258,116,2.861
258,184,2.861
116,115,0.259
116,185,0.259
184,115,0.259
184,185,0.259
113,114,0.249
113,194,0.249
195,114,0.249
195,194,0.249
85,113,3.248
85,195,3.248
196,113,3.248
196,195,3.248
86,85,0.313
86,196,0.313
197,85,0.313
197,196,0.313
115,336,5.476
115,337,5.476
185,336,5.476
185,337,5.476
88,86,2.467
88,197,2.467
336,244,0.571
337,244,0.571
89,88,0.205
244,329,0.569
327,89,0.483
328,89,0.483
246,327,1.93
246,328,1.93
335,327,1.93
335,328,1.93
329,333,2.358
329,334,2.358
247,246,0.212
247,335,0.212
332,246,0.212
332,335,0.212
354,247,1.467
354,332,1.467
355,247,1.467
355,332,1.467
333,352,1.399
333,353,1.399
334,352,1.399
334,353,1.399
352,356,0.32
352,357,0.32
353,356,0.32
353,357,0.32
347,354,0.707
347,355,0.707
348,354,0.707
348,355,0.707
356,346,0.302
356,349,0.302
357,346,0.302
357,349,0.302
350,347,0.448
350,348,0.448
351,347,0.448
351,348,0.448
300,345,1.742
345,259,5.762
256,255,0.226
255,107,2.283
107,350,3.717
107,351,3.717
346,259,6.794
349,259,6.794
107,301,4.577
301,308,5.767
308,310,0.314
311,309,0.229
310,249,3.665
250,311,3.762
254,253,0.315
251,252,0.286
253,267,1.305
266,251,1.4
268,266,1.606
269,266,1.606
267,79,2.891
267,133,2.891
